Parameters
Model,B
P,0.95
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,4,71.44076936904396,2.3907092159578416
1,true,4,6.3368945366512,4,70.44076936904396,0.0
2,false,-1,-0.40000000000000036,4,69.44076936904396,0.0
3,false,-1,-0.40000000000000036,4,68.44076936904396,0.0
4,false,-1,-0.40000000000000036,4,67.44076936904396,7.450580596923828E-9
5,false,-1,-0.40000000000000036,4,66.44076936904396,3.725290298461914E-9
6,false,-1,-0.40000000000000036,4,65.44076936904396,3.725290298461914E-9
7,false,-1,-0.40000000000000036,4,64.44076936904396,0.0
8,false,-1,-0.40000000000000036,4,63.44076936904396,0.0
9,false,-1,-0.40000000000000036,4,62.44076936904398,0.0
10,false,-1,-0.40000000000000036,4,61.44076936904396,0.0
11,false,-1,-0.40000000000000036,4,60.44076936904397,5.268356063861754E-9
12,false,-1,-0.40000000000000036,4,59.44076936904396,0.0
13,false,-1,-0.40000000000000036,4,58.44076936904397,0.0
14,false,-1,-0.40000000000000036,4,57.44076936904397,5.268356063861754E-9
15,false,-1,-0.40000000000000036,4,56.44076936904397,3.725290298461914E-9
16,false,-1,-0.40000000000000036,4,55.44076936904397,3.725290298461914E-9
17,false,-1,-0.40000000000000036,4,54.44076936904397,3.725290298461914E-9
18,false,-1,-0.40000000000000036,4,53.44076936904397,0.0
19,false,-1,-0.40000000000000036,4,52.44076936904398,3.725290298461914E-9
20,false,-1,-0.40000000000000036,4,51.44076936904398,0.0
21,false,-1,-0.40000000000000036,4,50.44076936904397,3.725290298461914E-9
22,false,-1,-0.40000000000000036,4,49.44076936904398,0.0
23,false,-1,-0.40000000000000036,4,48.44076936904398,7.450580596923828E-9
24,false,-1,-0.40000000000000036,4,47.44076936904398,0.0
25,false,-1,-0.40000000000000036,4,46.44076936904398,3.725290298461914E-9
26,false,-1,-0.40000000000000036,4,45.44076936904398,3.725290298461914E-9
27,false,-1,-0.40000000000000036,4,44.44076936904398,0.0
28,false,-1,-0.40000000000000036,4,43.44076936904398,0.0
29,false,-1,-0.40000000000000036,4,42.44076936904398,0.0
30,false,-1,-0.40000000000000036,4,41.44076936904398,0.0
31,false,-1,-0.40000000000000036,3,40.69076936904398,0.0
32,false,-1,-0.30000000000000027,3,39.94076936904398,0.0
33,false,-1,-0.30000000000000027,3,39.19076936904398,0.0
34,false,-1,-0.30000000000000027,3,38.44076936904398,0.0
35,false,-1,-0.30000000000000027,3,37.69076936904398,0.0
36,false,-1,-0.30000000000000027,3,36.94076936904398,3.725290298461914E-9
37,false,-1,-0.30000000000000027,3,36.19076936904398,5.268356063861754E-9
38,false,-1,-0.30000000000000027,3,35.44076936904398,0.0
39,false,-1,-0.30000000000000027,3,34.69076936904398,3.725290298461914E-9
40,false,-1,-0.30000000000000027,3,33.94076936904398,5.268356063861754E-9
41,false,-1,-0.30000000000000027,3,33.19076936904398,3.725290298461914E-9
42,false,-1,-0.30000000000000027,3,32.44076936904397,7.450580596923828E-9
43,false,-1,-0.30000000000000027,3,31.69076936904397,5.268356063861754E-9
44,false,-1,-0.30000000000000027,3,30.94076936904397,3.725290298461914E-9
