Parameters
Model,A
P,0.75
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,10,37.47270861150055,2.1773839153154024
1,true,8,0.6107192413239115,10,36.872708611500556,0.6283185322080748
2,false,-1,-3.0,10,36.073034763087875,0.3764204925168464
3,false,-1,-4.388343312272093,10,35.135463514784725,0.19252788794054537
4,false,-1,-4.834379897652084,10,34.152416544768265,0.09867209897824733
5,false,-1,-4.956174223305272,10,33.15690822759843,0.05062351217134668
6,false,-1,-4.988460570565653,10,32.158091864104115,0.025993446659772636
7,false,-1,-4.996962635341706,10,31.15840364181279,0.013357188986960653
8,false,-1,-4.999199770589842,10,30.1584858430213,0.006869375791215748
9,false,-1,-4.99978889198715,10,29.15850754492582,0.003535821043100911
10,false,-1,-4.999944225123212,10,28.15851328317841,0.001821620679237633
11,false,-1,-4.999985240739189,10,27.15851480293741,9.393929722006497E-4
12,false,-1,-4.999996087736736,10,26.15851520614695,4.8494036898413866E-4
13,false,-1,-4.999998961092299,10,25.158515313323154,2.5061804586185173E-4
14,false,-1,-4.99999972358362,10,24.158515341868334,1.2967739299956887E-4
15,false,-1,-4.999999926303536,10,23.158515349487296,6.718848432879512E-5
16,false,-1,-4.999999980307971,10,22.15851535152554,3.486111418457642E-5
17,false,-1,-4.999999994725659,10,21.158515352072165,1.8114815526892633E-5
18,false,-1,-4.999999998583677,10,20.15851535221916,9.447670142956968E-6
19,false,-1,-4.999999999618609,10,19.1585153522588,4.925971803434913E-6
20,false,-1,-4.9999999998969855,10,18.158515352269525,2.5742190389394443E-6
21,false,-1,-4.9999999999720846,10,17.15851535227244,1.347986617429277E-6
22,false,-1,-4.999999999992408,10,16.15851535227323,7.092553449235589E-7
23,false,-1,-4.999999999997925,10,15.158515352273445,3.7818735209051336E-7
24,false,-1,-4.999999999999432,10,14.158515352273506,2.0369554400502395E-7
25,false,-1,-4.999999999999844,10,13.15851535227352,1.0814646118711023E-7
26,false,-1,-4.999999999999957,10,12.158515352273524,6.216636769564142E-8
27,false,-1,-4.999999999999988,10,11.158515352273525,4.6733088916234865E-8
28,false,-1,-4.999999999999995,10,10.158515352273568,3.294494235105617E-7
29,false,-1,-4.99999999999886,9,9.258515352273704,2.88302117868954E-7
30,false,-1,-4.49999999999951,9,8.358515352273761,1.6637664210203839E-7
31,false,-1,-4.499999999999828,8,7.558515352273785,1.061844605023703E-7
32,false,-1,-3.9999999999999325,8,6.758515352273794,1.225401933775188E-7
33,false,-1,-3.999999999999952,8,5.958515352273804,1.1438019765623786E-7
34,false,-1,-3.999999999999938,7,5.258515352273806,9.781284942274121E-8
35,false,-1,-3.4999999999999964,7,4.5585153522738056,8.911523957276662E-8
36,false,-1,-3.4999999999999982,6,3.958515352273806,9.17070895822255E-8
37,false,-1,-2.9999999999999982,5,3.458515352273806,8.860501163959188E-8
38,false,-1,-2.5,5,2.958515352273806,8.934408364961591E-8
39,false,-1,-2.5,5,2.458515352273806,9.848422573179829E-8
40,false,-1,-2.4999999999999982,5,1.9585153522738061,9.74549807070416E-8
41,false,-1,-2.4999999999999982,4,1.558515352273806,1.1014000257768921E-7
42,false,-1,-1.9999999999999982,4,1.1585153522738063,1.1025632219493744E-7
43,false,-1,-1.9999999999999973,3,0.8585153522738066,1.0809641416433335E-7
44,false,-1,-1.5,2,0.6585153522738072,1.3863424101477445E-7
45,false,-1,-0.9999999999999893,1,0.5585153522738074,1.4608482161169828E-7
46,false,-1,-0.499999999999999,1,0.45851535227380813,1.7469386845342165E-7
47,false,-1,-0.49999999999998235,0,0.45851535227380813,1.7469386845342165E-7
