Parameters
Model,B
P,0.55
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,2,48.72733774993719,2.7478021251287403
1,true,1,1.9631681327371413,2,48.72733774993719,1.5707963267948966
2,true,0,0.20000000000000018,2,49.72733774993719,3.141592653589793
3,true,1,2.2,2,49.72733774993719,1.5707963267948966
4,true,0,0.20000000000000018,2,50.72733774993719,3.141592653589793
5,true,1,2.2,2,50.72733774993719,1.5707963267948966
6,true,0,0.20000000000000018,2,51.72733774993719,3.141592653589793
7,true,1,2.2,2,51.72733774993719,1.5707963267948966
8,true,2,0.20000000000000018,2,50.72733774993719,0.0
9,false,-1,-1.7999999999999998,2,49.72733774993719,0.0
10,false,-1,-1.7999999999999998,2,48.72733774993719,0.0
11,false,-1,-1.7999999999999998,2,47.72733774993719,0.0
12,false,-1,-1.7999999999999998,2,46.72733774993719,0.0
13,false,-1,-1.7999999999999998,2,45.72733774993719,0.0
14,false,-1,-1.7999999999999998,2,44.72733774993719,0.0
15,false,-1,-1.7999999999999998,2,43.72733774993719,0.0
16,false,-1,-1.7999999999999998,2,42.72733774993719,0.0
17,false,-1,-1.7999999999999998,2,41.72733774993719,0.0
18,false,-1,-1.7999999999999998,2,40.727337749937185,0.0
19,false,-1,-1.7999999999999998,2,39.72733774993719,0.0
20,false,-1,-1.7999999999999998,2,38.72733774993719,0.0
21,false,-1,-1.7999999999999998,2,37.72733774993719,7.450580596923828E-9
22,false,-1,-1.7999999999999998,2,36.72733774993719,0.0
23,false,-1,-1.7999999999999998,2,35.72733774993719,7.450580596923828E-9
24,false,-1,-1.7999999999999998,2,34.727337749937185,0.0
25,false,-1,-1.7999999999999998,2,33.727337749937185,0.0
26,false,-1,-1.7999999999999998,2,32.727337749937185,0.0
27,false,-1,-1.7999999999999998,2,31.72733774993719,1.0536712127723509E-8
28,false,-1,-1.7999999999999996,2,30.72733774993719,0.0
29,false,-1,-1.7999999999999998,2,29.727337749937185,0.0
30,false,-1,-1.7999999999999998,2,28.727337749937185,0.0
31,false,-1,-1.7999999999999998,2,27.727337749937185,0.0
32,false,-1,-1.7999999999999998,2,26.727337749937185,0.0
33,false,-1,-1.7999999999999998,2,25.727337749937185,0.0
34,false,-1,-1.7999999999999998,2,24.727337749937185,7.450580596923828E-9
35,false,-1,-1.7999999999999998,2,23.727337749937185,0.0
36,false,-1,-1.7999999999999998,2,22.727337749937185,0.0
37,false,-1,-1.7999999999999998,2,21.727337749937185,0.0
38,false,-1,-1.7999999999999998,2,20.727337749937185,0.0
39,false,-1,-1.7999999999999998,2,19.727337749937185,0.0
40,false,-1,-1.7999999999999998,2,18.72733774993718,0.0
41,false,-1,-1.7999999999999998,2,17.727337749937185,0.0
42,false,-1,-1.7999999999999998,2,16.727337749937192,0.0
43,false,-1,-1.7999999999999998,2,15.727337749937195,0.0
44,false,-1,-1.7999999999999998,2,14.727337749937199,1.0536712127723509E-8
45,false,-1,-1.7999999999999996,2,13.727337749937199,0.0
46,false,-1,-1.7999999999999998,2,12.7273377499372,0.0
47,false,-1,-1.7999999999999998,2,11.727337749937204,0.0
48,false,-1,-1.7999999999999998,2,10.727337749937206,1.0536712127723509E-8
49,false,-1,-1.7999999999999996,2,9.72733774993721,0.0
50,false,-1,-1.7999999999999998,2,8.727337749937211,0.0
51,false,-1,-1.7999999999999998,2,7.727337749937213,0.0
52,false,-1,-1.7999999999999998,2,6.727337749937213,0.0
53,false,-1,-1.7999999999999998,2,5.727337749937213,7.450580596923828E-9
54,false,-1,-1.7999999999999998,2,4.727337749937212,0.0
55,false,-1,-1.7999999999999998,1,4.2273377499372105,0.0
56,false,-1,-0.8999999999999999,1,3.7273377499372082,0.0
57,false,-1,-0.8999999999999999,1,3.2273377499372065,0.0
58,false,-1,-0.8999999999999999,1,2.7273377499372042,0.0
59,false,-1,-0.8999999999999999,1,2.2273377499372025,0.0
60,false,-1,-0.8999999999999999,1,1.7273377499372005,0.0
61,false,-1,-0.8999999999999999,1,1.2273377499371985,0.0
62,false,-1,-0.8999999999999999,1,0.7273377499371965,0.0
63,false,-1,-0.8999999999999999,0,0.7273377499371965,0.0
