Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,true
Leader's Influence,1.0
Step Number,leader signal,# accepted signal,utility,avg dis from leader,avg angle from leader,avg directions
0,false,-1,0.0,38.19346998342918,1.5809931894307363,0.3624854896082228
1,false,-1,-0.6676407536514612,38.91004565420515,1.5885714117770335,0.3624854896082263
2,false,-1,-0.7660644236440493,39.629792111805024,1.5960061714768385,0.3624854896082263
3,false,-1,-0.8529983478490872,40.35258884014926,1.6032944372770466,0.3624854896082263
4,false,-1,-0.9302609957943657,41.07831906783022,1.6104340140647238,0.3624854896082263
5,false,-1,-0.9993102501786209,41.806869781492324,1.617423456909953,0.3624854896082263
6,false,-1,-1.0613283959714126,42.538131725445275,1.6242619906286029,0.36248548960822713
7,false,-1,-1.1172841557645379,43.27199938764207,1.6309494348639353,0.36248548960822713
8,false,-1,-1.1679786930367593,44.00837097255669,1.6374861346279208,0.36248548960822713
9,false,-1,-1.2140802180398627,44.74714836178748,1.6438728961910718,0.36248548960822713
10,false,-1,-1.2561503604173323,45.48823706341178,1.6501109281648838,0.36248548960822713
11,false,-1,-1.2946645069938714,46.23154615123974,1.6562017875838917,0.36248548960822713
12,false,-1,-1.3300276568790799,46.97698819517895,1.6621473307650896,0.36248548960822713
13,false,-1,-1.362586905907949,47.724479183936765,1.6679496687005786,0.36248548960822713
14,false,-1,-1.3926413679175447,48.47393844126692,1.6736111267242737,0.36248548960822713
15,false,-1,-1.4204501265516472,49.22528853692,1.6791342081845853,0.36248548960822713
16,false,-1,-1.4462386591292988,49.97845519339103,1.684521561851395,0.36248548960822713
17,false,-1,-1.4702040644695469,50.733367189478756,1.689775952786547,0.36248548960822713
18,false,-1,-1.4925193466328266,51.48995626158524,1.6949002364117178,0.36248548960822713
19,false,-1,-1.5133369476346665,52.2481570035942,1.699897335515134,0.36248548960822713
20,false,-1,-1.5327916783379454,53.00790676607697,1.7047702199485268,0.36248548960822713
21,false,-1,-1.5510031637781418,53.7691455554865,1.709521888777335,0.36248548960822713
22,false,-1,-1.5680778941932552,54.53181593391511,1.7141553546599875,0.36248548960822713
23,false,-1,-1.5841109539307925,55.29586291991261,1.7186736302456422,0.36248548960822713
24,false,-1,-1.5991874856879327,56.06123389078661,1.7230797163936957,0.36248548960822713
25,false,-1,-1.613383936117756,56.82787848673899,1.7273765920323787,0.36248548960822713
26,false,-1,-1.6267691199051209,57.59574851713038,1.7315672054875808,0.36248548960822713
27,false,-1,-1.6394051323896794,58.364797869108685,1.7356544671265262,0.36248548960822713
28,false,-1,-1.651348135250184,59.134982418787516,1.7396412431738906,0.36248548960822713
29,false,-1,-1.6626490353328203,59.9062599451165,1.7435303505703272,0.36248548960822713
30,false,-1,-1.673354073156538,60.67859004654612,1.7473245527550643,0.36248548960822713
31,false,-1,-1.6835053347694302,61.451934060556006,1.7510265562652245,0.36248548960822713
32,false,-1,-1.6931411983158773,62.22625498608652,1.7546390080547667,0.36248548960822713
33,false,-1,-1.7022967247914997,63.00151740888755,1.758164493445459,0.36248548960822713
34,false,-1,-1.7110040009242713,63.777687429777785,1.7616055346310868,0.36248548960822713
35,false,-1,-1.7192924408569503,64.55473259578939,1.7649645896641597,0.36248548960822713
36,false,-1,-1.7271890522645388,65.33262183415772,1.7682440518617997,0.36248548960822713
37,false,-1,-1.7347186716783343,66.11132538910388,1.7714462495742265,0.36248548960822713
38,false,-1,-1.7419041730716054,66.89081476134747,1.774573446265418,0.36248548960822713
39,false,-1,-1.7487666531642134,67.67106265027927,1.7776278408610817,0.36248548960822713
40,false,-1,-1.7553255964030408,68.4520428987172,1.7806115683241308,0.36248548960822713
41,false,-1,-1.7615990221546665,69.2337304401644,1.7835267004223976,0.3624854896082273
42,false,-1,-1.7676036162923436,70.01610124848513,1.7863752466574263,0.3624854896082273
43,false,-1,-1.7733548490596913,70.79913228991194,1.7891591553268866,0.3624854896082281
44,false,-1,-1.7788670808388756,71.5828014772961,1.7918803146964029,0.3624854896082284
45,false,-1,-1.7841536572359122,72.36708762651392,1.794540554259596,0.3624854896082273
46,false,-1,-1.7892269947100745,73.15197041494054,1.7971416460677951,0.3624854896082274
