Parameters
Model,B
P,0.95
Initial Alpha,0.0
Independent,true
Leader's Influence,1.0
Step Number,leader signal,# accepted signal,utility,avg dis from leader,avg angle from leader,avg directions
0,true,0,0.0,81.50918634151344,2.572320883133047,1.0398134751980006
1,false,-1,-0.0403210814685353,82.01901647348461,2.5904447261308308,1.0398134751980004
2,false,-1,-0.03202718618276146,82.55560660127743,2.608348234278763,1.039813475198
3,false,-1,-0.02361768541352438,83.1184667844928,2.6260234391301633,1.039813475198
4,false,-1,-0.015100362394826039,83.70709244937439,2.6434631354477798,1.039813475198
5,false,-1,-0.006482921538682351,84.32096643499888,2.660660880674383,1.039813475198
6,true,2,0.002227028602887593,84.32096643499888,1.821062153756914,4.3298697960381105E-15
