Parameters
Model,B
P,0.55
Initial Alpha,0.0
Independent,false
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,2,29.055402374251337,1.4691899583939063
1,false,-1,-0.7038860048361653,2,29.190152449829988,1.527199839523813
2,false,-1,-0.813397161538326,2,29.225836229330092,1.585127545836421
3,false,-1,-0.9282200435146106,2,29.284882807317345,1.6433966227491137
4,false,-1,-1.0426985405358304,2,29.383604257284638,1.7021684436004931
5,false,-1,-1.1585815191942102,2,29.544577026310854,1.7609503963164344
6,false,-1,-1.274551427324233,2,29.759289622846943,1.8190591904242153
7,false,-1,-1.388745681680065,2,30.030162137927967,1.8757320981700207
8,false,-1,-1.4988906003738331,2,30.35509703372134,1.9302744006230004
9,false,-1,-1.6030155064789464,2,30.73059884647934,1.9821443053657557
10,false,-1,-1.699663927303718,2,31.15258048935688,2.0309878695447026
11,false,-1,-1.7880332771743768,2,31.616747710127,2.0766342349921434
12,false,-1,-1.8679264333051457,2,32.11886261248454,2.119065755401328
13,false,-1,-1.9396099841373875,0,32.11886261248454,2.119065755401328
