Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,false
Leader's Influence,1.0
Step Number,leader signal,# accepted signal,utility,avg dis from leader,avg angle from leader,avg directions
0,false,-1,0.0,45.766497993823,2.5054320889513217,0.8453047492025517
1,false,-1,-0.3429935290523889,46.52761545040076,1.9905797851092824,0.5551940000928046
2,false,-1,-1.6938233081533687,47.026756697167144,1.6799789157693572,0.3607327815835245
3,false,-1,-3.7054859235702846,47.321937763738475,1.4651708504600762,0.2196684719422358
4,false,-1,-7.311232357289256,47.49309797396631,1.3322502828140044,0.13087642452888984
5,false,-1,-13.516709572777591,47.60206407291579,1.2608080099191081,0.08283315446187044
6,false,-1,-22.395918988518833,47.667929874606294,1.2142749403991893,0.0514151845354304
7,false,-1,-37.16005711839501,47.70685323385992,1.1837357778388118,0.030787720044173565
8,false,-1,-63.22852124263674,47.73196466586006,1.1668810311504831,0.01939950509286333
9,false,-1,-101.366696941438,47.747160626376576,1.1554168576280293,0.011667753024258161
10,false,-1,-169.68625991859133,47.756184814187456,1.1483732852378516,0.006919432902999462
11,false,-1,-287.31614993142114,47.76171111887068,1.1446103785867887,0.004371758540421377
12,false,-1,-455.75778579215563,47.765214559649955,1.142153156487471,0.0027118382815285607
13,false,-1,-735.7836041820776,47.767325194994626,1.1405394934611521,0.0016234568689399373
14,false,-1,-1230.2159372481015,47.76857743506535,1.1395574530525516,9.613733465592356E-4
15,false,-1,-2078.634277625505,47.76934459605965,1.1390350752878116,6.076612418199293E-4
