Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,false
Leader's Influence,1.0
Step Number,leader signal,# accepted signal,utility,avg dis from leader,avg angle from leader,avg directions
0,false,-1,0.0,68.76612464412788,2.21162404667926,0.693949812041968
1,false,-1,-0.8041301852608491,69.34808360499235,1.7373375088597247,0.4207768328488661
2,false,-1,-2.793645741707692,69.67791561675389,1.4727869946410967,0.25000669794276636
3,false,-1,-6.099494510897126,69.86628450408357,1.3188258409506552,0.14774866573734416
4,false,-1,-11.669820005890305,69.97486615249721,1.2284407628857468,0.08715162398998802
5,false,-1,-21.101471191767175,70.03793405457154,1.1752500368738454,0.05137126290871477
6,false,-1,-37.096792657197646,70.07896392023133,1.1472831131191557,0.03253102981471676
7,false,-1,-59.65055052773517,70.10366914151834,1.1289557015113032,0.020169694308851217
8,false,-1,-97.33340764246073,70.11948669061005,1.117690924344674,0.012579731449626623
9,false,-1,-157.16305637180986,70.12904116766799,1.110655176895143,0.007832276881151555
10,false,-1,-253.53227007184404,70.13470979810455,1.1060010126455193,0.004694029537920666
11,false,-1,-424.25283431185943,70.13805558594652,1.1031628854836388,0.00278065975130778
12,false,-1,-717.434053828914,70.1402513864774,1.1016453837075,0.0017574100904504464
13,false,-1,-1136.2189305904863,70.14158738232035,1.1006061070856232,0.0010579124007343429
14,false,-1,-1888.696537145434,70.14238246977698,1.0999663938320947,6.27552979254403E-4
15,false,-1,-3185.162895658654,70.14285241156279,1.0995843148416096,3.705509409267405E-4
