Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,false
Leader's Influence,1.0
Step Number,leader signal,# accepted signal,utility,avg dis from leader,avg angle from leader,avg directions
0,false,-1,0.0,19.298126460770067,2.37869124974514,0.5985063344944413
1,false,-1,-1.1926656016523411,19.40554516213573,1.5731573607161362,0.2650567921109797
2,false,-1,-5.240232436808591,19.4191639278774,1.4571255405386854,0.14416308500565703
3,false,-1,-11.63538649715313,19.418840149119248,1.4312565723952515,0.08260540311375326
4,false,-1,-22.00454742454255,19.417076646379066,1.4239132616449628,0.04822880160812127
5,false,-1,-39.278686037232134,19.415706709209275,1.4210824158922541,0.028333201871968187
6,false,-1,-68.40778045965892,19.41482146360888,1.4197002581585074,0.01667827470119321
7,false,-1,-117.74125925937633,19.414279289294825,1.4189411438756077,0.009823879708957466
8,false,-1,-201.41359946489052,19.41285847666771,1.4169119816418592,0.006219421136184016
9,false,-1,-319.403097765862,19.41181647949333,1.4170558151656503,0.0037457889555539323
10,false,-1,-531.7637147817895,19.411164541330777,1.4173932649560486,0.0022223451078036555
11,false,-1,-897.7816742986736,19.410773428286934,1.4176397818747608,0.0013122919374735757
12,false,-1,-1521.8829422945455,19.41054172100173,1.417794035497781,7.737442850032273E-4
13,false,-1,-2582.66535312906,19.410404979390126,1.4178866241237076,4.559908976441121E-4
