Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,10,54.920761226623156,2.347023317409876
1,true,7,10.742302982444151,10,54.52076122662315,0.9424777975670541
2,true,9,1.0,10,53.720761226623154,0.31415926684909545
3,false,-1,-3.0,10,52.920761226623156,0.314159270446554
4,false,-1,-3.0,10,52.120761226623166,0.314159270446554
5,false,-1,-3.0,10,51.32076122662316,0.3141592698293277
6,false,-1,-3.0,10,50.52076122662315,0.31415926833921154
7,false,-1,-3.0,10,49.72076122662317,0.314159270446554
8,false,-1,-3.0,10,48.92076122662316,0.31415926833921154
9,false,-1,-3.0,10,48.120761226623166,0.31415926684909545
10,false,-1,-3.0,10,47.32076122662316,0.3141592674663217
11,false,-1,-3.0,10,46.520761226623165,0.31415926684909545
12,false,-1,-3.0,10,45.72076122662317,0.3141592674663217
13,false,-1,-3.0,10,44.92076122662318,0.314159270446554
14,false,-1,-3.0,9,44.220761226623175,0.3141592725538964
15,false,-1,-2.5,9,43.52076122662318,0.3141592698293277
16,false,-1,-2.5,9,42.820761226623176,0.3141592698293277
17,false,-1,-2.5,9,42.12076122662317,0.31415926833921154
18,false,-1,-2.5,9,41.42076122662318,0.31415926833921154
19,false,-1,-2.5,9,40.720761226623175,0.31415926684909545
20,false,-1,-2.5,8,40.12076122662317,0.3141592653589793
21,false,-1,-2.0,7,39.62076122662317,0.3141592653589793
22,false,-1,-1.5,7,39.12076122662317,0.3141592653589793
23,false,-1,-1.5,7,38.62076122662317,0.31415926684909545
24,false,-1,-1.5,7,38.12076122662317,0.3141592653589793
25,false,-1,-1.5,7,37.62076122662317,0.31415926684909545
26,false,-1,-1.5,7,37.12076122662317,0.31415926386886317
27,false,-1,-1.5,7,36.62076122662318,0.31415926684909545
28,false,-1,-1.5,7,36.12076122662318,0.3141592653589793
29,false,-1,-1.5,7,35.62076122662317,0.31415926386886317
30,false,-1,-1.5,7,35.12076122662318,0.31415926895643786
31,false,-1,-1.5,7,34.62076122662318,0.31415926684909545
32,false,-1,-1.5,7,34.12076122662317,0.31415926684909545
33,false,-1,-1.5,7,33.62076122662318,0.3141592653589793
34,false,-1,-1.5,7,33.12076122662318,0.3141592653589793
35,false,-1,-1.5,7,32.62076122662318,0.3141592653589793
36,false,-1,-1.5,7,32.12076122662319,0.31415926684909545
37,false,-1,-1.5,7,31.620761226623188,0.3141592653589793
38,false,-1,-1.5,6,31.22076122662319,0.3141592653589793
39,false,-1,-1.0,6,30.820761226623187,0.31415926597620564
40,false,-1,-1.0,6,30.42076122662319,0.31415926684909545
41,false,-1,-1.0,6,30.020761226623186,0.3141592653589793
42,false,-1,-1.0,6,29.620761226623188,0.31415926684909545
43,false,-1,-1.0,6,29.22076122662319,0.3141592653589793
44,false,-1,-1.0,6,28.820761226623187,0.31415926684909545
45,false,-1,-1.0,6,28.42076122662319,1.4901161193847657E-9
46,false,-1,-3.0,6,28.020761226623186,0.31415926833921154
47,false,-1,-1.0,6,27.620761226623188,0.31415926684909545
48,false,-1,-1.0,6,27.22076122662319,0.31415926386886317
49,false,-1,-1.0,6,26.820761226623194,0.31415926386886317
50,false,-1,-1.0,6,26.420761226623192,0.3141592653589793
51,false,-1,-1.0,6,26.020761226623193,0.3141592653589793
