Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,4,30.379947511531412,2.4527142966504965
1,true,4,4.8272208166626,4,29.379947511531412,0.0
2,false,-1,-2.0,4,28.379947511531412,3.725290298461914E-9
3,false,-1,-2.0,4,27.379947511531416,3.725290298461914E-9
4,false,-1,-2.0,4,26.37994751153142,8.993646362323668E-9
5,false,-1,-1.9999999999999996,4,25.379947511531416,3.725290298461914E-9
6,false,-1,-2.0,4,24.37994751153142,3.725290298461914E-9
7,false,-1,-2.0,4,23.37994751153142,0.0
8,false,-1,-2.0,4,22.37994751153142,0.0
9,false,-1,-2.0,4,21.37994751153142,3.725290298461914E-9
10,false,-1,-2.0,4,20.37994751153142,5.268356063861754E-9
11,false,-1,-2.0,4,19.37994751153142,3.725290298461914E-9
12,false,-1,-2.0,4,18.37994751153142,0.0
13,false,-1,-2.0,4,17.37994751153142,3.725290298461914E-9
14,false,-1,-2.0,4,16.37994751153142,3.725290298461914E-9
15,false,-1,-2.0,4,15.37994751153142,8.993646362323668E-9
16,false,-1,-1.9999999999999996,4,14.37994751153142,1.0536712127723509E-8
17,false,-1,-1.9999999999999996,4,13.379947511531416,3.725290298461914E-9
18,false,-1,-2.0,4,12.379947511531416,5.268356063861754E-9
19,false,-1,-2.0,4,11.379947511531416,0.0
20,false,-1,-2.0,4,10.379947511531416,0.0
21,false,-1,-2.0,4,9.379947511531416,0.0
22,false,-1,-2.0,4,8.379947511531416,3.725290298461914E-9
23,false,-1,-2.0,4,7.379947511531415,0.0
24,false,-1,-2.0,4,6.379947511531414,0.0
25,false,-1,-2.0,4,5.379947511531414,5.268356063861754E-9
26,false,-1,-2.0,4,4.379947511531414,0.0
27,false,-1,-2.0,4,3.3799475115314133,7.450580596923828E-9
28,false,-1,-2.0,3,2.6299475115314124,7.450580596923828E-9
29,false,-1,-1.5,3,1.879947511531411,3.725290298461914E-9
30,false,-1,-1.5,2,1.3799475115314097,3.725290298461914E-9
31,false,-1,-1.0,1,1.1299475115314086,3.725290298461914E-9
32,false,-1,-0.5,1,0.8799475115314074,3.725290298461914E-9
33,false,-1,-0.5,1,0.6299475115314062,3.725290298461914E-9
34,false,-1,-0.5,1,0.37994751153140494,3.725290298461914E-9
35,false,-1,-0.5,0,0.37994751153140494,3.725290298461914E-9
