Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,2,27.69977433832615,2.0765118124366637
1,true,1,1.778008673443562,2,27.69977433832615,1.5707963267948966
2,true,2,1.0,2,26.69977433832615,0.0
3,false,-1,-1.0,2,25.69977433832615,7.450580596923828E-9
4,false,-1,-1.0,2,24.69977433832615,7.450580596923828E-9
5,false,-1,-1.0,2,23.699774338326154,0.0
6,false,-1,-1.0,2,22.69977433832615,0.0
7,false,-1,-1.0,2,21.699774338326154,0.0
8,false,-1,-1.0,2,20.699774338326154,1.0536712127723509E-8
9,false,-1,-0.9999999999999998,2,19.699774338326158,7.450580596923828E-9
10,false,-1,-1.0,2,18.699774338326154,0.0
11,false,-1,-1.0,2,17.699774338326154,0.0
12,false,-1,-1.0,2,16.699774338326154,0.0
13,false,-1,-1.0,2,15.699774338326154,0.0
14,false,-1,-1.0,2,14.699774338326156,0.0
15,false,-1,-1.0,2,13.699774338326154,0.0
16,false,-1,-1.0,2,12.699774338326154,0.0
17,false,-1,-1.0,2,11.699774338326154,0.0
18,false,-1,-1.0,1,11.199774338326153,0.0
19,false,-1,-0.5,1,10.69977433832615,0.0
20,false,-1,-0.5,1,10.19977433832615,0.0
21,false,-1,-0.5,1,9.699774338326149,0.0
22,false,-1,-0.5,1,9.199774338326149,0.0
23,false,-1,-0.5,1,8.699774338326147,0.0
24,false,-1,-0.5,1,8.199774338326147,0.0
25,false,-1,-0.5,1,7.6997743383261446,0.0
26,false,-1,-0.5,1,7.199774338326144,0.0
27,false,-1,-0.5,1,6.699774338326143,0.0
28,false,-1,-0.5,1,6.199774338326141,0.0
29,false,-1,-0.5,1,5.69977433832614,0.0
30,false,-1,-0.5,1,5.199774338326139,0.0
31,false,-1,-0.5,1,4.6997743383261374,0.0
32,false,-1,-0.5,1,4.199774338326137,0.0
33,false,-1,-0.5,1,3.6997743383261357,0.0
34,false,-1,-0.5,1,3.199774338326135,0.0
35,false,-1,-0.5,1,2.699774338326134,0.0
36,false,-1,-0.5,1,2.199774338326132,0.0
37,false,-1,-0.5,1,1.6997743383261312,0.0
38,false,-1,-0.5,1,1.1997743383261301,0.0
39,false,-1,-0.5,1,0.699774338326129,0.0
40,false,-1,-0.5,0,0.699774338326129,0.0
