Parameters
Model,B
P,0.55
Initial Alpha,0.0
Independent,false
Leader's Influence,1.0
Step Number,leader signal,accept signal,loc x,loc y,direction x,direction y
0,false,,78.44748350619493,94.5065812169809,-0.30799060736993,0.9513893975507093
,,false,38.005867678055395,36.022006229071565,0.6502408114905205,-0.7597281665649559
,,false,47.49881566851134,4.450435348242554,-0.7266038265640447,-0.6870566783188181
1,true,,78.139492898825,95.45797061453162,-0.3079906073699294,0.9513893975507095
,,false,38.996025310746894,35.88204958427481,0.9901576326914998,-0.1399566447967545
,,false,48.49879861036987,4.444594458586559,0.9999829418585231,-0.005840889655994256
2,false,,77.83150229145507,96.40936001208233,-0.3079906073699294,0.9513893975507095
,,false,38.04820862102558,36.200865397379694,-0.9478166897213152,0.318815813104884
,,false,49.01816903349239,3.5900452419901545,0.5193704231225243,-0.8545492165964053
3,false,,77.52351168408514,97.36074940963304,-0.3079906073699294,0.9513893975507095
,,false,37.094322269690565,36.50103339823383,-0.9538863513350169,0.3001680008541362
,,false,48.13550179468842,3.120046789288254,-0.8826672388039675,-0.4699984527018999
4,false,,77.2155210767152,98.31213880718376,-0.3079906073699294,0.9513893975507095
,,false,36.136038512757075,36.78685194416365,-0.9582837569334892,0.2858185459298211
,,false,47.25105159342405,2.6534121983250376,-0.8844502012643735,-0.4666345909632176
5,false,,76.90753046934528,99.26352820473447,-0.3079906073699294,0.9513893975507095
,,false,35.17612118127985,37.067135223596544,-0.9599173314772179,0.2802832794328925
,,false,46.372208845729034,2.176300654947733,-0.8788427476950166,-0.4771115433773042
6,false,,76.59953986197534,100.21491760228518,-0.3079906073699294,0.9513893975507095
,,false,34.21549707799841,37.34498650071204,-0.960624103281449,0.27785127711549573
,,false,45.493423426608004,1.6990835270695823,-0.878785419121032,-0.47721712787815157
7,false,,76.29154925460541,101.1663069998359,-0.3079906073699294,0.9513893975507095
,,false,33.25524941087723,37.62413595492668,-0.9602476671211801,0.2791494542146395
,,false,44.61377338171127,1.223462040472128,-0.8796500448967348,-0.4756214865974543
8,false,,75.98355864723548,102.11769639738661,-0.3079906073699294,0.9513893975507095
,,false,32.29780073737341,37.912739554359845,-0.957448673503818,0.288603599433166
,,false,43.73231818241189,0.7511943921750186,-0.8814551992993839,-0.4722676482971107
9,false,,75.67556803986555,103.06908579493732,-0.3079906073699294,0.9513893975507095
,,false,31.33884017265812,38.19627903189505,-0.9589605647152868,0.28353947753520703
,,false,42.8505280175928,0.27955246737578504,-0.8817901648190877,-0.471641924799234
10,false,,75.36757743249562,104.02047519248804,-0.3079906073699294,0.9513893975507095
,,false,30.380309462483982,38.48126829073311,-0.9585307101741362,0.2849892588380593
,,false,41.96787851722102,-0.1904792969693972,-0.8826495003717818,-0.4700317643451812
11,false,,75.05958682512569,104.97186459003875,-0.3079906073699294,0.9513893975507095
,,false,29.424465014463163,38.77514137760528,-0.9558444480208186,0.29387308687216745
,,false,41.08351042005752,-0.6572694733007076,-0.8843680971634965,-0.46679017633131104
12,false,,74.75159621775576,105.92325398758946,-0.3079906073699294,0.9513893975507095
,,false,28.467172108525432,39.06426123552116,-0.9572929059377296,0.28911985791587785
,,false,40.19887331730089,-1.1235496427550205,-0.8846371027566369,-0.4662801694543139
13,false,,74.44360561038583,106.87464338514017,-0.3079906073699294,0.9513893975507095
,,false,27.512375337757874,39.3615205945527,-0.954796770767558,0.2972593590315426
,,false,39.31257394130845,-1.586662389411192,-0.8862993759924341,-0.4631127466561703
14,false,,74.1356150030159,107.82603278269089,-0.3079906073699294,0.9513893975507095
,,false,26.558411999482356,39.66144383344263,-0.9539633382755193,0.29992323888993205
,,false,38.42388988614838,-2.0451824545165787,-0.8886840551600724,-0.458520065105388
15,false,,73.82762439564597,108.7774221802416,-0.3079906073699294,0.9513893975507095
,,false,25.603053305520675,39.95689224835094,-0.9553586939616809,0.2954484149083071
