Parameters
Model,B
P,0.55
Initial Alpha,0.0
Independent,false
Leader's Influence,1.0
Step Number,leader signal,accept signal,loc x,loc y,direction x,direction y
0,false,,60.97223322520059,24.49136930022059,-0.966067937491172,0.2582880952571234
,,false,78.22972648459661,12.5305313289931,0.6765452717458258,-0.7364010424207498
,,false,11.06978517392293,59.839875205853446,0.07669038381477673,0.9970549558727153
1,false,,60.006165287709415,24.749657395477712,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
2,false,,59.04009735021824,25.007945490734834,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
3,false,,58.074029412727064,25.266233585991955,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
4,false,,57.10796147523589,25.524521681249077,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
5,false,,56.141893537744714,25.7828097765062,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
6,false,,55.17582560025354,26.04109787176332,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
7,false,,54.209757662762364,26.29938596702044,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
8,false,,53.24368972527119,26.557674062277563,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
9,false,,52.277621787780014,26.815962157534685,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
10,false,,51.31155385028884,27.074250252791806,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
11,false,,50.34548591279766,27.332538348048928,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
12,false,,49.37941797530649,27.59082644330605,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
13,false,,48.41335003781531,27.84911453856317,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
14,false,,47.44728210032414,28.107402633820293,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
15,false,,46.48121416283296,28.365690729077414,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
16,false,,45.51514622534179,28.623978824334536,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
17,false,,44.54907828785061,28.882266919591657,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
18,false,,43.58301035035944,29.14055501484878,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
19,false,,42.61694241286826,29.3988431101059,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
20,false,,41.65087447537709,29.657131205363022,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
21,false,,40.68480653788591,29.915419300620144,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
22,false,,39.71873860039474,30.173707395877265,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
23,false,,38.75267066290356,30.431995491134387,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
24,false,,37.786602725412386,30.69028358639151,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
25,false,,36.82053478792121,30.94857168164863,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
26,false,,35.854466850430036,31.206859776905752,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
27,false,,34.88839891293886,31.465147872162873,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
28,false,,33.922330975447686,31.723435967419995,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
29,false,,32.95626303795651,31.981724062677117,-0.9660679374911728,0.258288095257121
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
30,false,,31.99019510046534,32.24001215793424,-0.9660679374911726,0.2582880952571219
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
31,false,,31.024127162974168,32.49830025319136,-0.9660679374911726,0.2582880952571219
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
32,false,,30.058059225482996,32.75658834844848,-0.9660679374911726,0.2582880952571219
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
33,false,,29.091991287991824,33.0148764437056,-0.9660679374911726,0.2582880952571219
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
34,false,,28.125923350500653,33.273164538962725,-0.9660679374911726,0.2582880952571219
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
35,false,,27.15985541300948,33.531452634219846,-0.9660679374911726,0.2582880952571219
,,false,NaN,NaN,NaN,NaN
,,false,NaN,NaN,NaN,NaN
