Parameters
Model,B
P,0.75
Initial Alpha,0.0
Independent,false
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,4,52.60451971653106,0.19005206996248503
1,false,-1,-1.9201780835893674,4,51.62396566394598,0.09041661095273301
2,false,-1,-1.9807203738623587,4,50.62656683500798,0.05634358480013273
3,false,-1,-1.9870935335579443,4,49.631778347165394,0.13638516112095803
4,false,-1,-1.9542297653915846,4,48.64697155053082,0.21134567412668093
5,false,-1,-1.9022783216235384,4,47.675027252883076,0.2653680639869272
6,false,-1,-1.851133110262527,4,46.71737791699624,0.3124529013144839
7,false,-1,-1.7973442014359868,4,45.77143149837948,0.34657424577743823
8,false,-1,-1.7530162892657044,4,44.83675227210154,0.375021893096372
9,false,-1,-1.7125899157557027,4,43.91220774736262,0.4003387659534663
10,false,-1,-1.6739671129676532,4,42.997496765548014,0.4234112921151882
11,false,-1,-1.6365540896854087,4,42.091902082563024,0.44344639438917405
12,false,-1,-1.6022243463368664,4,41.19509471926108,0.4629631003168418
13,false,-1,-1.5671397511003065,4,40.307318211572515,0.4822930213544151
14,false,-1,-1.53072677636637,4,39.429113220062284,0.5018739630425803
15,false,-1,-1.4920861334468691,4,38.56098127496538,0.5221516359200686
16,false,-1,-1.4501768568163813,4,37.70396933804714,0.5434665466088201
17,false,-1,-1.4039923852257736,4,36.85918556573154,0.5660554860188352
18,false,-1,-1.3526155794065047,4,36.02795390384244,0.5901553832835879
19,false,-1,-1.295001504239886,4,35.21214102523755,0.6162583365194576
20,false,-1,-1.2293745639010187,4,34.41388439553242,0.6445430597683217
21,false,-1,-1.1544799784177497,4,33.63571882760843,0.6753728576587031
22,false,-1,-1.0685144725019282,4,32.88060440094362,0.7089667732483299
23,false,-1,-0.9699189928477265,4,32.15189651419453,0.7455517635313963
24,false,-1,-0.8571509531884338,4,31.453244590203365,0.7851830620576606
25,false,-1,-0.7293189266745919,4,30.78847529946797,0.8278134719226118
26,false,-1,-0.5862567548722981,4,30.161271475706055,0.8731667298785495
27,false,-1,-0.4291023912357561,4,29.574884607083334,0.9207914036907996
28,false,-1,-0.2602621522277806,4,29.031804839560287,0.9700630795645265
29,false,-1,-0.08327776312192547,4,28.533577209913645,1.0202951370785351
30,true,2,0.09786690964509881,4,28.533577209913645,0.5404953507821523
31,false,-1,-1.3430694369164056,4,27.58368517204474,0.4732196215404014
32,false,-1,-1.3276272771771396,4,26.76429722022947,0.5771631926272691
33,false,-1,-1.006266793389261,4,26.05025966985254,0.7280495109706129
34,false,-1,-0.5358247817221606,4,25.464131793001073,0.8999593773323211
35,false,-1,-0.07383915791264783,4,24.987121021578094,1.0356366196196816
36,true,4,0.31274411795773527,4,23.987121021578098,0.5672336354198276
37,false,-1,-0.980709860581916,4,23.231611172574986,0.6502406208804414
38,false,-1,-0.6959909873278809,4,22.612116557270028,0.8120308221796269
39,false,-1,-0.21661033961329768,4,22.10992805912141,0.9487660616590542
40,true,4,0.24402888778977427,4,21.109928059121412,0.7212851939311257
41,false,-1,-0.5013925602850939,4,20.46082673159041,0.7987192915892029
42,false,-1,-0.20897583038130785,4,19.957094823121373,0.9723845063598184
